dataset,task,attribute,practice,AAOD,FDRD,DI,Precision,Recall,Accuracy,F1,costEffectiveness
German Credit,Classification Logistic Regression,Gender,MinMax Scaling,,-0.031805555555555545,0.7458707790374633,0.6436176081686918,0.44353419677704836,0.76,0.5220315910273317,-0.0648563485569558
Adult,Classification Logistic Regression,Race,Mutation,0.3491370428101678,0.060586798651176645,1.3564423394821834,0.6796826584172936,0.3845080167263939,0.8015383318577575,0.4904552208874107,-0.17337383000871617
German Credit,Classification Logistic Regression,Age,Mutation,0.025848455593294923,0.0005602631483523302,0.04284245541008279,0.6381191464119853,0.467103995967439,0.761,0.5332359162568534,-0.18410781680304406
Adult,Classification Logistic Regression,Sex,Undersampling,0.2528889295017248,0.2896592901121874,-0.5727931032123541,0.4815608505957817,0.7367764810744808,0.7456157084457667,0.5822280018755006,-0.20458897910045426
Adult,Classification Logistic Regression,Sex,Oversampling,0.22909046610500966,0.2909509184096281,-0.5501770686199554,0.4824058982176391,0.7243705663461343,0.7463838140342591,0.5789352167584156,-0.21536957021509315
German Credit,Classification Logistic Regression,Gender,Oversampling,0.1542913678269614,-0.1018095858153403,0.29902141471181914,0.5235715633218694,0.7110607074379321,0.7190000000000001,0.6001224750694072,-0.22857436229959172
Communities and Crime,Classification Logistic Regression,Race,Regularization,0.3973948055393964,-0.08947941340786891,6.809370583914107,0.8080538146088475,0.6765979865798901,0.8681180904522613,0.7348671333058486,-0.30873611639396364
German Credit,Classification Logistic Regression,Gender,Iterative Imputer,0.13851474492516885,-0.03297307955202692,0.8857047339141813,0.65044183352879,0.4708232858360736,0.7649999999999999,0.5409560036390078,-0.32345249030454615
Communities and Crime,Classification Logistic Regression,Race,Iterative Imputer,0.3797113442304404,-0.10776798585392142,6.1781854491396215,0.7950008763541752,0.6885658983605232,0.8666080402010049,0.7370104807188221,-0.3293019931088316
Adult,Classification Logistic Regression,Sex,Simple Imputer,0.10731334591062174,0.25107285265888657,-0.6821867943968972,0.6831707306684558,0.38811048193056047,0.8092810023996698,0.4949194575704472,-0.517933769088503
Compas,Classification Logistic Regression,Race,Oversampling,0.24983166419976036,-0.04449742945832945,0.9505680264111429,0.6889086650190281,0.6566477914913802,0.6849562700559995,0.6723152358628182,-0.5741113186955077
Adult,Classification Logistic Regression,Sex,MinMax Scaling,0.2207481416420214,0.014751030032370927,-0.8535523312915698,0.7180764985964568,0.45116681055907043,0.8193755830136741,0.553813426906844,-0.7196622614850346
Adult,Classification Logistic Regression,Sex,Select Best,0.18143930601815753,0.001846371434091615,-0.8405901185415783,0.7117277664333527,0.4636705512598474,0.8256192860736921,0.5612392994410694,-0.7683423873414079
Adult,Classification Logistic Regression,Race,Select Best,0.07094026114210275,-0.02011352980738874,-0.6111301658647448,0.7095460236308535,0.4521334992704474,0.8234079838623897,0.5517720948636522,-0.834917886162201
Adult,Classification Logistic Regression,Race,Oversampling,0.10599536381025401,0.08967995801606563,-0.4656107067613897,0.48115568505700423,0.7267922450588109,0.7455235142754332,0.5788775438922013,-0.9302264987023344
Adult,Classification Logistic Regression,Race,MinMax Scaling,0.12059847663383236,-0.0028133821366376653,-0.7106666098131849,0.7191898224255105,0.4520984925778406,0.8196080741404368,0.5549636030341414,-0.9467809124980656
Adult,Classification Logistic Regression,Race,Undersampling,0.09460855443948876,0.08038516738401018,-0.4640489310186199,0.4830425261554991,0.7270691519665803,0.7469979514921179,0.5803708761266988,-0.9471618425402296
Adult,Classification Logistic Regression,Sex,Iterative Imputer,0.11123879375033016,0.24572458766709154,-0.6908532548157147,0.6845356947556568,0.3908845969665634,0.8098955359049004,0.497147768716531,-1.2774183086570157
German Credit,Classification Logistic Regression,Gender,Simple Imputer,0.13676364662553797,-0.07469263579557699,0.7186225963942434,0.6321951174272807,0.4599892419057504,0.757,0.5297151108222464,-1.4294933244100294
Compas,Classification Logistic Regression,Race,Mutation,0.13239491031448053,-0.07026880095221107,1.1391004547846628,0.6787940266016065,0.6559692923741779,0.676995113152541,0.6669611469690608,-1.6993719953396773
Communities and Crime,Classification Logistic Regression,Race,Select Best,0.4634599521913426,-0.11839975698408012,8.453798963027506,0.7727998148699069,0.6161550405648702,0.8460301507537688,0.683862178072933,-3.282495579617328
Compas,Classification Logistic Regression,Sex,Mutation,0.230531375061571,0.008316783813165802,-0.8253948534882575,0.6801936760818863,0.6560208332187007,0.6777157658507938,0.6674384929116906,-4.074874832925625
Compas,Classification Logistic Regression,Sex,Oversampling,0.22084197081817974,0.018024651372070967,-0.5022923510578057,0.6883187996970431,0.6577861194394237,0.6839438746618007,0.6725453426955144,-4.074874832925625
Compas,Classification Logistic Regression,Sex,Iterative Imputer,0.22147113731500948,0.03213083315693104,-0.5143917325900996,0.680794736988837,0.6291985632856105,0.6796462284991989,0.6534816298870321,-4.259093701686381
Compas,Classification Logistic Regression,Race,Select Best,0.25599713583744405,-0.0339968380459648,1.017362292971381,0.6902268422160677,0.6438839238065281,0.6814803162818011,0.6658542489134511,-5.0090332291129105
Compas,Classification Logistic Regression,Sex,Regularization,0.21012544396574628,0.05097468561383885,-0.4884523471153785,0.6909532479882408,0.6409478927490423,0.6807537909771597,0.6643342393102912,-8.014809249115757
Compas,Classification Logistic Regression,Race,MinMax Scaling,0.2531888421613324,-0.042411693815177266,0.9971516110132435,0.6901665770961773,0.6466087926664933,0.6823515593867321,0.6673878354522518,-11.23344896359677
Compas,Classification Logistic Regression,Sex,Select Best,0.2151029986274117,0.02422499840617818,-0.500903832505976,0.6898346245868296,0.6420494767682161,0.6811908806812224,0.6648286398326325,-12.091378115382815
German Credit,Classification Logistic Regression,Gender,Undersampling,0.10618086886128612,-0.07989385936560857,0.2193104572850814,0.5013366900433763,0.7170937519023439,0.703,0.5872050836369722,-14.655532438215864
German Credit,Classification Decision Tree,Gender,MinMax Scaling,,0.004078601137424665,0.28701304312607256,0.45619236512696026,0.4680671286058284,0.6769999999999999,0.45846269136869805,25.943260471216085
German Credit,Classification Decision Tree,Age,Undersampling,0.12106269461473759,-0.0012754116082289546,0.29702604770911395,0.4371187607587064,0.6538028121116356,0.645,0.5210052292520763,2.6605554894072605
German Credit,Classification Decision Tree,Gender,Regularization,0.12461655200596385,-0.08425102675102676,0.6476883726754614,0.6475018037518038,0.4408753732181724,0.758,0.5192693826622513,2.3158832165985026
Communities and Crime,Classification Decision Tree,Race,Iterative Imputer,0.3132006387598232,-0.3054184442450908,3.0774224970554447,0.6533897672375933,0.6902757800053573,0.8164472361809045,0.6699303053106266,1.4691684142803105
German Credit,Classification Decision Tree,Age,Select Best,0.14218545789425213,-0.06253729088249213,0.4011893188413486,0.463848355130376,0.4900342656766461,0.6780000000000002,0.47588350534282214,1.2306382395877613
Communities and Crime,Classification Decision Tree,Race,Regularization,0.35121245957982006,-0.2511382260328422,3.8803601504554557,0.6735817196424466,0.6397652896179413,0.8174623115577889,0.6528888937493135,1.0235156714288278
German Credit,Classification Decision Tree,Gender,Iterative Imputer,0.11708712901305077,-0.058147408210909336,0.2505635932518801,0.499499943800166,0.5598398394145259,0.701,0.5211925965190854,0.9069155548751268
German Credit,Classification Decision Tree,Gender,Select Best,0.08928186743962131,-0.03907796011141011,0.05079235927106519,0.4454552928082339,0.4366843811600731,0.666,0.43714799921834147,0.8536425149196886
German Credit,Classification Decision Tree,Age,Regularization,0.1149929440989369,0.04588133271956803,0.35938916980937563,0.6461009286412512,0.44380368216272836,0.7580000000000001,0.52082044195002,0.6384283285097818
German Credit,Classification Decision Tree,Age,MinMax Scaling,,0.031485038353459394,0.2662265722687326,0.5020405879517134,0.5087727922979964,0.695,0.49527364877403235,0.4288224205671233
Communities and Crime,Classification Decision Tree,Race,Undersampling,0.2892058745468485,-0.3624532347225042,1.9254789817416516,0.5512408854604823,0.7677380108265545,0.7672889447236182,0.6371083863636223,0.1634938551659801
German Credit,Classification Decision Tree,Age,Mutation,0.03874226618385584,0.015856088977027987,0.03017898992763428,0.44509549809549814,0.48728068103068106,0.667,0.4606773450952974,0.02128038874462675
German Credit,Classification Decision Tree,Gender,Mutation,0.04825789980672742,-0.01354073958184034,0.038925232701793634,0.5204700854700854,0.5315787971475311,0.7090000000000001,0.51970412688606,0.0016544991621575168
Communities and Crime,Classification Decision Tree,Race,Mutation,0.1898923348242522,-0.03385645558822788,0.1954682407549672,0.6402187198242606,0.6469866942200808,0.8104371859296482,0.6418718607311494,-0.0226249292502191
German Credit,Classification Decision Tree,Gender,Simple Imputer,0.0940115395115124,-0.1007166230567765,0.29280725429911864,0.48038448903888586,0.49181527907725336,0.6859999999999999,0.48091535083502385,-0.4039368965717536
German Credit,Classification Decision Tree,Age,Oversampling,0.13899053044078627,-0.0341780537480497,0.4907221227338342,0.45700186307944934,0.456774110477716,0.674,0.4543894220609916,-0.5630246669950416
German Credit,Classification Decision Tree,Age,Simple Imputer,0.12932286208222982,-0.08157606425483999,0.11041375504846443,0.49158363188535603,0.5134809834465007,0.6980000000000001,0.5001460234232964,-0.696972908435467
Communities and Crime,Classification Decision Tree,Race,MinMax Scaling,,0.005581959856153418,2.9090188019957655,0.6259074207731615,0.644466752496256,0.7988894472361809,0.6333448119642309,-0.7124996235557426
Communities and Crime,Classification Decision Tree,Race,Simple Imputer,0.3042954400045075,-0.33122426399118765,3.028248345052199,0.6353369505176572,0.6554098874165947,0.805427135678392,0.642347387292962,-0.7747623087769937
Communities and Crime,Classification Decision Tree,Race,Oversampling,0.2663464061723097,-0.2918710644280829,3.0937081502403023,0.6684820760349927,0.6568893715525137,0.8189723618090452,0.6599483266560962,-1.1106005545375417
German Credit,Classification Decision Tree,Gender,Oversampling,0.13121099572985737,-0.12323277891698947,0.1791838772381941,0.49002103977791833,0.4838296522598525,0.695,0.48257483730008993,-1.2811244904535397
German Credit,Classification Decision Tree,Gender,Undersampling,0.10938951626193608,-0.09471528880864247,0.06073925841425746,0.4144325460232028,0.6422258297258298,0.619,0.500446916947048,-2.212748832785233
Communities and Crime,Classification Decision Tree,Race,Select Best,0.335354010816948,-0.3118474137478568,2.783683857424271,0.5949422968474489,0.6282146040853979,0.7868919597989951,0.609985913245194,-4.589159758566935
German Credit,Classification Decision Tree,Age,Iterative Imputer,0.10365857241993245,-0.005652853227066107,0.657457856939797,0.4916589526144081,0.529654994732881,0.692,0.5044353160917118,-5.5026610513962275
,,,,,,,,,,,
